row_id,realization_id,scenario_name,site_id,sector_id,impaired_sector_id,attached_ue_count,active_ue_count,offered_traffic_Mbps,served_traffic_Mbps,unserved_traffic_Mbps,sector_load_ratio,mean_RSRP_dBm,median_RSRP_dBm,mean_SINR_dB,median_SINR_dB,mean_UE_throughput_Mbps,median_UE_throughput_Mbps,qos_satisfaction_ratio,boundary_ue_ratio,handover_risk_score,attach_rate_sector,cod_label
182,16032,degraded_sector,4,11,11,17,3,12.0092165049496,12.0092165049496,0,0.364462671999841,-95.2203595164263,-95.8143777697938,5.58910380198885,3.33710555801582,4.00307216831652,4.47787171182311,1,0.176470588235294,0.176470588235294,0.894736842105263,degraded
183,16033,degraded_sector,4,12,12,11,1,2.67976931348837,2.67976931348837,0,0.107563391513015,-91.23651183826,-93.935454666069,4.06357352848802,0.960368527115308,2.67976931348837,2.67976931348837,1,0.363636363636364,0.363636363636364,0.916666666666667,degraded
184,16034,degraded_sector,5,13,13,7,1,7.61000472593044,7.61000472593044,0,0.209704919610801,-92.329510627429,-93.0942504769229,6.27922899182873,3.20570353151405,7.61000472593044,7.61000472593044,1,0.142857142857143,0.142857142857143,1,degraded
185,16035,degraded_sector,5,14,14,13,2,13.3437970902475,13.3437970902475,0,0.356302398761411,-96.2750816277288,-98.004571089445,6.71040552888963,5.36450040475719,6.67189854512373,6.67189854512373,1,0.153846153846154,0.153846153846154,0.928571428571429,degraded
186,16036,degraded_sector,5,15,15,12,2,10.0855347791795,10.0855347791795,0,0.243475728065393,-89.7818881075449,-90.4587844604269,8.94960366067772,7.2625092290738,5.04276738958973,5.04276738958973,1,0.0833333333333333,0.0833333333333333,1,degraded
187,16037,degraded_sector,6,16,16,8,0,0,0,0,0,-93.3011709658485,-90.9213916234424,3.57063307315099,3.42437523444057,0,0,1,0.25,0.25,1,degraded
188,16038,degraded_sector,6,17,17,15,1,4.8896284665733,4.8896284665733,0,0.178655359353822,-92.5738704459504,-92.984778247764,4.0763473069732,3.12345528429309,4.8896284665733,4.8896284665733,1,0.333333333333333,0.333333333333333,1,degraded
189,16039,degraded_sector,6,18,18,9,1,1.2108259793612,1.2108259793612,0,0.0251510552296349,-93.6111018549246,-90.6513428034883,9.2248424591948,10.7045540523299,1.2108259793612,1.2108259793612,1,0.111111111111111,0.111111111111111,0.692307692307692,degraded
190,16040,degraded_sector,7,19,19,5,3,15.5031416359859,15.5031416359859,0,0.457212287049509,-92.4117380576951,-91.8699117493768,6.2378895884564,5.53233582351296,5.16771387866195,5.47406398374487,1,0,0,0.833333333333333,degraded
191,16041,degraded_sector,7,20,20,8,1,5.37089375429063,5.37089375429063,0,0.209524412991893,-93.482108149883,-94.7563391457222,3.39386840588069,2.48673031360283,5.37089375429063,5.37089375429063,1,0.375,0.375,0.888888888888889,degraded
192,16042,degraded_sector,7,21,21,14,2,11.6417571376978,11.6417571376978,0,0.354994370090859,-95.8099493639747,-96.359761378657,5.80936636972865,6.53575646457204,5.82087856884889,5.82087856884889,1,0.0714285714285714,0.0714285714285714,0.875,degraded
193,16043,degraded_sector,1,1,1,9,1,5.16606524954356,5.16606524954356,0,0.134728510935527,-86.1863619377266,-84.8381985976451,6.92635773714843,7.52381014152389,5.16606524954356,5.16606524954356,1,0.111111111111111,0.111111111111111,1,degraded
194,16044,degraded_sector,1,2,2,12,0,0,0,0,0,-90.3880827884255,-89.7382869450944,2.57525091005531,1.85509711016098,0,0,1,0.416666666666667,0.416666666666667,0.923076923076923,degraded
195,16045,degraded_sector,1,3,3,2,0,0,0,0,0,-86.5241020480314,-86.5241020480314,7.32533548716748,7.32533548716748,0,0,1,0,0,1,degraded
196,16046,degraded_sector,2,4,4,6,0,0,0,0,0,-93.4001972803718,-95.467347742517,6.42591836389083,4.6758802134025,0,0,1,0.166666666666667,0.166666666666667,0.666666666666667,degraded
197,16047,degraded_sector,2,5,5,7,3,13.0195818848791,13.0195818848791,0,0.480305862029666,-91.0376618311753,-88.3430519336173,3.74923519494571,2.18939476952988,4.33986062829303,2.66537526247997,1,0.571428571428571,0.571428571428571,0.875,degraded
198,16048,degraded_sector,2,6,6,6,1,2.61582056224169,2.61582056224169,0,0.0749940797042935,-89.0440941713715,-88.1057489920948,6.08874096260966,6.55327526767263,2.61582056224169,2.61582056224169,1,0.333333333333333,0.333333333333333,1,degraded
199,16049,degraded_sector,3,7,7,16,2,12.920074528105,12.920074528105,0,0.375810888242348,-96.8541301511459,-95.8639165764939,6.05147489039655,5.61129045885836,6.4600372640525,6.4600372640525,1,0.0625,0.0625,0.941176470588235,degraded
200,16050,degraded_sector,3,8,8,8,0,0,0,0,0,-90.3333785690733,-91.0504785188917,6.68486539710307,6.53328524543479,0,0,1,0.125,0.125,1,degraded
