dataset_id,scenario_id,realization_id,scenario_name,traffic_mode,impaired_sector_id,impaired_sector_status,ue_seed,shadowing_seed,traffic_seed,num_sites,num_sectors,num_ues,attached_ues,unattached_ues,attach_rate,active_ues,active_attached_ues,active_attach_rate,coverage_ratio,sinr_threshold_ratio,total_offered_traffic_Mbps,total_served_traffic_Mbps,total_unserved_traffic_Mbps,mean_ue_throughput_Mbps,median_ue_throughput_Mbps,qos_satisfied_ues,qos_satisfaction_ratio,overloaded_sector_count,mean_sector_load,max_sector_load,jain_fairness_index,mean_best_RSRP_dBm,mean_best_SINR_dB,boundary_ue_count,boundary_ue_ratio,handover_risk_score,es_candidate_sector_count,outage_scenario_label,degraded_scenario_label,overload_scenario_label,handover_stress_label,energy_saving_candidate_label
36,2,15,low_load,low_load,0,normal,21115,21215,21315,7,21,500,487,13,0.974,25,24,0.96,0.974,0.98,46.6949223711742,45.0730721007835,1.62185027039076,0.090146144201567,0,24,0.96,0,0.0480334770990282,0.18718700045637,0.0409030856628944,-87.5317525445319,9.21836778674781,78,0.160164271047228,0.160164271047228,0,0,0,0,0,0
37,2,16,low_load,low_load,0,normal,21116,21216,21316,7,21,500,486,14,0.972,25,24,0.96,0.972,0.978,40.3141580985436,38.5407750821637,1.77338301637987,0.0770815501643275,0,24,0.96,0,0.0494440612892188,0.407422328702959,0.0401220837559178,-88.6305016453927,8.46143990776923,78,0.160493827160494,0.160493827160494,0,0,0,0,0,0
38,2,17,low_load,low_load,0,normal,21117,21217,21317,7,21,500,487,13,0.974,25,24,0.96,0.974,0.982,39.2312295491965,37.9036231854914,1.32760636370509,0.0758072463709828,0,24,0.96,0,0.0418585775195068,0.183744744716825,0.0402189598638142,-88.9129463924715,8.368531940093,75,0.154004106776181,0.154004106776181,0,0,0,0,0,0
39,2,18,low_load,low_load,0,normal,21118,21218,21318,7,21,500,490,10,0.98,25,25,1,0.98,0.984,45.1766652640223,45.1766652640223,0,0.0903533305280446,0,25,1,0,0.0487777690174344,0.171293635352552,0.0416293245103539,-87.9272598028667,8.79419097579335,78,0.159183673469388,0.159183673469388,0,0,0,0,0,0
40,2,19,low_load,low_load,0,normal,21119,21219,21319,7,21,500,488,12,0.976,25,24,0.96,0.976,0.978,40.2111655498796,38.0670681281088,2.14409742177083,0.0761341362562175,0,24,0.96,0,0.0436410702169203,0.152960383090112,0.0392822185502769,-88.1064966602022,8.67495966169499,74,0.151639344262295,0.151639344262295,0,0,0,0,0,0
41,2,20,low_load,low_load,0,normal,21120,21220,21320,7,21,500,485,15,0.97,25,25,1,0.97,0.984,49.1781624047214,49.1781624047214,0,0.0983563248094428,0,25,1,0,0.059650200506057,0.166884789907108,0.0453658820839746,-88.7096350208712,8.26869468657356,88,0.181443298969072,0.181443298969072,0,0,0,0,0,0
42,2,21,low_load,low_load,0,normal,21121,21221,21321,7,21,500,489,11,0.978,25,25,1,0.978,0.982,41.1345794546347,41.1345794546347,0,0.0822691589092693,0,25,1,0,0.0430552062758566,0.15275589694058,0.0418473983464313,-88.1359017993401,9.48164054483797,61,0.124744376278119,0.124744376278119,0,0,0,0,0,0
43,3,1,overload,overload,0,normal,31101,31201,31301,7,21,500,487,13,0.974,150,146,0.973333333333333,0.974,0.982,1137.29175190563,793.54622421941,343.74552768622,1.58709244843882,0,52,0.346666666666667,17,1.25567136463091,2.465772854792,0.249320604414232,-88.5717598415401,8.29285972359662,81,0.166324435318275,0.166324435318275,0,0,0,1,0,0
44,3,2,overload,overload,0,normal,31102,31202,31302,7,21,500,486,14,0.972,150,146,0.973333333333333,0.972,0.974,1110.46217406003,823.060363800254,287.401810259773,1.64612072760051,0,91,0.606666666666667,18,1.19880360903905,2.86419769140262,0.241324877539692,-88.7371803262396,8.54993029725295,80,0.164609053497942,0.164609053497942,0,0,0,1,0,0
45,3,3,overload,overload,0,normal,31103,31203,31303,7,21,500,486,14,0.972,150,148,0.986666666666667,0.972,0.978,1128.25845094644,829.361783163969,298.896667782471,1.65872356632794,0,42,0.28,17,1.20219582297948,2.216713451513,0.257370858578804,-88.3089654276333,8.96376538506641,74,0.152263374485597,0.152263374485597,0,0,0,1,0,0
