sector_id,site_id,azimuth_deg,attached_ue_count,active_ue_count,active_attached_ue_count,offered_traffic_Mbps,served_traffic_Mbps,unserved_traffic_Mbps,sector_capacity_Mbps,sector_load_ratio,mean_RSRP_dBm,median_RSRP_dBm,mean_SINR_dB,median_SINR_dB,mean_UE_throughput_Mbps,median_UE_throughput_Mbps,qos_satisfaction_ratio,overload_flag,scenario_name,realization_id,phase_tag
18,6,270,18,5,5,25.4971951440558,25.4971951440558,0,52.9724624939802,0.481329240583319,-89.8347412045659,-92.3231732672876,10.7553179121381,12.2654915222226,5.09943902881117,6.30148199351753,1,0,outage_sector,9,post
19,7,30,18,2,2,6.11996066406525,6.11996066406525,0,43.3007845836671,0.141336022497238,-87.3449867568737,-86.8598835905932,8.77832192247273,7.75228485747242,3.05998033203262,3.05998033203262,1,0,outage_sector,9,post
20,7,150,24,9,9,39.897894533263,37.7912469791474,2.1066475541156,37.7912469791474,1.05574432500939,-87.7628037703081,-87.4624839488287,6.78752029129473,6.04068088071229,4.19902744212748,4.37760727212403,1,1,outage_sector,9,post
21,7,270,28,5,5,22.4223096375978,22.4223096375978,0,53.3565246801297,0.420235571413593,-90.6761156097237,-90.9770409214405,10.8254487803176,11.7196720926356,4.48446192751956,5.0542664405632,1,0,outage_sector,9,post
1,1,30,26,10,10,83.3233785551208,33.9957133036476,49.3276652514732,33.9957133036476,2.45099662451208,-87.8783845988484,-89.0584104111147,6.03493427757621,6.15506563756808,3.39957133036476,3.35804597596167,0,1,mixed_conflict,11,pre
2,1,150,19,0,0,0,0,0,43.3823131006354,0,-85.8062855390459,-87.1094182718311,8.35090550513649,7.6869573466778,NaN,NaN,NaN,0,mixed_conflict,11,pre
3,1,270,23,8,8,58.2560622978717,36.0510601318915,22.2050021659802,36.0510601318915,1.61593201655496,-86.8581674635267,-88.9704752796737,6.42445796280053,6.37568278196874,4.50638251648644,4.34837846936073,0,1,mixed_conflict,11,pre
4,2,30,19,4,4,37.7706870026518,37.7706870026518,0,45.0652422480737,0.838133450936153,-90.9861616237726,-93.5259523882729,8.91246478733605,9.2516712686985,9.44267175066294,9.97275405959624,1,1,mixed_conflict,11,pre
5,2,150,24,10,10,71.9537363999487,33.0872545117595,38.8664818881892,33.0872545117595,2.17466627139994,-88.5044022705893,-88.1510715853473,5.56083321366551,3.25534070157818,3.30872545117595,2.78866447725648,0,1,mixed_conflict,11,pre
6,2,270,25,8,8,55.4621379384574,47.8768005618077,7.5853373766497,47.8768005618077,1.15843450873158,-87.0056031120293,-86.9361502041145,9.35100541345759,8.64412281907172,5.98460007022596,5.86360410143657,1,1,mixed_conflict,11,pre
7,3,30,23,9,9,53.4528471522253,49.8135235002922,3.63932365193303,49.8135235002922,1.07305894857873,-89.258211263261,-90.497073785239,11.0175903470305,8.7372118862537,5.53483594447691,5.46021821658961,1,1,mixed_conflict,11,pre
8,3,150,19,5,5,31.8405923195664,31.8405923195664,0,47.1534792675326,0.675254356924836,-85.7482262110576,-86.9781641964051,9.3644986728798,9.40700454290127,6.36811846391327,5.41859348049882,1,0,mixed_conflict,11,pre
9,3,270,19,3,3,19.774862107229,19.774862107229,0,47.55015008616,0.415873810522096,-85.3007202481305,-83.125599778802,9.39099849346744,11.2963746133729,6.59162070240965,5.54228642673024,1,0,mixed_conflict,11,pre
