dataset_id,scenario_id,realization_id,scenario_name,traffic_mode,active_ues,total_served_traffic_Mbps,total_unserved_traffic_Mbps,overloaded_sector_count,mean_sector_load,max_sector_load,mean_best_RSRP_dBm,mean_best_SINR_dB,coverage_ratio,boundary_ue_ratio,handover_risk_score,es_candidate_sector_count,qos_satisfaction_ratio_active
89,5,5,outage_sector,normal,75,338.604016847306,20.1115643617058,1,0.406674271275824,1.42888903044509,-88.744916670439,8.86131036223823,0.972,0.166666666666667,0.166666666666667,0,0.88
90,5,6,outage_sector,normal,75,324.685086305735,11.0446650638023,2,0.358178326910566,0.936102049154958,-89.1925391230424,8.6957002628078,0.976,0.172131147540984,0.172131147540984,0,0.96
91,5,7,outage_sector,normal,75,311.602836266649,23.5911816993007,1,0.361641545356253,0.876434281277754,-89.6035607381818,8.67396428545527,0.938,0.147121535181237,0.147121535181237,0,0.933333333333333
92,5,8,outage_sector,normal,75,344.521848231738,14.3612405268232,2,0.408263036785719,1.09165457252986,-89.6894176433628,8.32846934695376,0.96,0.147916666666667,0.147916666666667,0,0.973333333333333
93,5,9,outage_sector,normal,75,303.906511247101,21.6730141456127,1,0.3249794499372,1.05495631227324,-89.0509966055886,8.7249207942676,0.976,0.157786885245902,0.157786885245902,0,0.96
94,5,10,outage_sector,normal,75,324.750850706888,17.2289110400603,1,0.375433087203797,1.06040606297648,-88.9477828414734,9.07872545915884,0.964,0.192946058091286,0.192946058091286,0,0.96
95,5,11,outage_sector,normal,75,300.108268570092,35.2100105087446,2,0.368084282654738,1.20590450774884,-89.485776572147,8.15976825455317,0.958,0.192066805845511,0.192066805845511,0,0.92
96,5,12,outage_sector,normal,75,294.905772047973,6.74181603756098,1,0.32344383878571,0.896976764193315,-88.6207548031766,9.17568920369884,0.98,0.173469387755102,0.173469387755102,0,0.986666666666667
97,5,13,outage_sector,normal,75,330.929201789309,7.03745824519197,1,0.405401791269386,1.22947035737042,-89.225384418472,7.95659068076909,0.976,0.17827868852459,0.17827868852459,0,1
98,5,14,outage_sector,normal,75,353.735810562225,3.31285848594539,1,0.405300351877299,0.858394200034897,-88.856118046897,8.36870868722448,0.964,0.188796680497925,0.188796680497925,0,0.986666666666667
99,5,15,outage_sector,normal,75,307.341891782696,30.5255945744946,1,0.358525515675378,1.28595189855004,-88.7918932883541,8.78064370373552,0.974,0.149897330595483,0.149897330595483,0,0.826666666666667
100,5,16,outage_sector,normal,75,319.115084523509,5.43697231907761,1,0.361756041622748,0.816177834138216,-88.8587572030294,8.60092093156248,0.966,0.19047619047619,0.19047619047619,0,0.986666666666667
101,5,17,outage_sector,normal,75,336.65711298534,1.42427121733774,1,0.403836283025893,1.05098376239533,-89.110839867497,8.42892443201933,0.978,0.177914110429448,0.177914110429448,0,1
102,5,18,outage_sector,normal,75,347.638575305078,9.52681054176318,1,0.393795099186558,0.928796358853313,-88.7576677424957,8.38234263299313,0.958,0.183716075156576,0.183716075156576,0,0.973333333333333
103,5,19,outage_sector,normal,75,321.862974487515,12.7356473115757,1,0.341266574152511,0.952601710668906,-88.552999260334,8.92585256703154,0.968,0.190082644628099,0.190082644628099,0,0.973333333333333
104,5,20,outage_sector,normal,75,329.996166556666,11.5996005067142,2,0.39807002828312,0.999694031562738,-89.2643051744614,7.97827543275236,0.984,0.150406504065041,0.150406504065041,0,0.973333333333333
105,5,21,outage_sector,normal,75,306.267195346081,0,1,0.352580061439823,0.827376319074145,-89.4264547032386,8.36135495238688,0.946,0.145877378435518,0.145877378435518,0,1
106,6,1,low_load_energy_saving_candidate,low_load,25,48.756374143209,2.53920307853147,0,0.0560695383439452,0.164902586285899,-88.5242312372879,8.75000017067195,0.962,0.164241164241164,0.164241164241164,17,0.96
107,6,2,low_load_energy_saving_candidate,low_load,25,47.2823281981644,0,0,0.0506238869133268,0.159129920261306,-88.4651831873295,8.98908575859797,0.976,0.149590163934426,0.149590163934426,19,1
108,6,3,low_load_energy_saving_candidate,low_load,25,32.1028443144925,1.45469920373421,0,0.0359322138489875,0.196871631176426,-88.3592954297271,9.24706599079529,0.964,0.147302904564315,0.147302904564315,19,0.96
109,6,4,low_load_energy_saving_candidate,low_load,25,43.7288573352594,0,0,0.0479661568301443,0.12094332134165,-88.7975692628971,8.1840081261977,0.978,0.190184049079755,0.190184049079755,20,1
110,6,5,low_load_energy_saving_candidate,low_load,25,50.8664751174749,0,0,0.0564935084079723,0.186781014114762,-88.4338298544978,8.49240788854819,0.976,0.168032786885246,0.168032786885246,17,1
111,6,6,low_load_energy_saving_candidate,low_load,25,39.1630836105602,1.34442813554906,0,0.049025052583588,0.206206519734359,-88.5771515398096,8.20523394788266,0.972,0.162551440329218,0.162551440329218,18,0.96
112,6,7,low_load_energy_saving_candidate,low_load,25,50.4631462930709,0,0,0.0568728801936739,0.190797776403253,-88.4994963059765,9.01375585461517,0.966,0.178053830227743,0.178053830227743,15,1
113,6,8,low_load_energy_saving_candidate,low_load,25,46.0019474729189,0.995097311622064,0,0.0503766052478253,0.203169129427124,-87.8660562940933,8.7835639129604,0.974,0.151950718685832,0.151950718685832,17,0.96
114,6,9,low_load_energy_saving_candidate,low_load,25,41.0751267816666,1.56462107036002,0,0.0465877131750506,0.129461240854289,-88.3439808680336,8.31740417705254,0.978,0.184049079754601,0.184049079754601,18,0.96
115,6,10,low_load_energy_saving_candidate,low_load,25,46.7425822674221,0,0,0.0505862309187488,0.179824013526884,-87.1483039650689,9.22470996029895,0.986,0.156186612576065,0.156186612576065,16,1
116,6,11,low_load_energy_saving_candidate,low_load,25,42.7997251796131,0.699789683499852,0,0.0490844111171638,0.140146144791094,-88.2844461883716,8.69402682168447,0.97,0.156701030927835,0.156701030927835,19,0.96
117,6,12,low_load_energy_saving_candidate,low_load,25,49.0456126791926,0,0,0.0608034183698221,0.183844994770162,-88.6320486749585,7.81069671766643,0.978,0.184049079754601,0.184049079754601,17,1
118,6,13,low_load_energy_saving_candidate,low_load,25,43.0282829865665,1.45167287330204,0,0.0523897888979581,0.203680067593006,-88.5359121248964,8.37434075172013,0.978,0.157464212678937,0.157464212678937,16,0.96
119,6,14,low_load_energy_saving_candidate,low_load,25,38.1540459537583,3.44945083245788,0,0.0460965750995491,0.135983092544434,-88.7039817670313,8.42450107414959,0.964,0.163900414937759,0.163900414937759,18,0.92
120,6,15,low_load_energy_saving_candidate,low_load,25,34.8158704701452,0,0,0.0392632707389235,0.185084254223876,-88.4717382806738,8.46019395086311,0.978,0.173824130879346,0.173824130879346,20,1
121,6,16,low_load_energy_saving_candidate,low_load,25,43.6736587776758,1.56673142530773,0,0.0487654335143129,0.194672158026077,-88.6735804952513,8.22657004858051,0.974,0.176591375770021,0.176591375770021,18,0.96
122,6,17,low_load_energy_saving_candidate,low_load,25,43.2519551115502,3.77354021988433,0,0.0459959659102699,0.11867291506655,-88.2660833460259,8.69099730451028,0.978,0.153374233128834,0.153374233128834,18,0.92
123,6,18,low_load_energy_saving_candidate,low_load,25,42.6579049516612,0,0,0.0502578492342566,0.202118223425113,-88.7498171042227,8.26257136510811,0.968,0.18595041322314,0.18595041322314,20,1
124,6,19,low_load_energy_saving_candidate,low_load,25,40.8116834249256,1.60813494420209,0,0.0479830536925799,0.140200634265234,-88.9114961384086,8.08730967628356,0.972,0.156378600823045,0.156378600823045,20,0.96
125,6,20,low_load_energy_saving_candidate,low_load,25,37.7525643916949,6.51018560877281,0,0.0481934377775926,0.224414232507378,-89.3928112761273,7.78620149834803,0.962,0.212058212058212,0.212058212058212,18,0.88
126,6,21,low_load_energy_saving_candidate,low_load,25,44.7274056936228,0,0,0.0508231436445585,0.138772172115758,-88.5399533247975,8.43494644243198,0.98,0.179591836734694,0.179591836734694,17,1
127,7,1,handover_stress,normal,75,303.876721768628,28.010285543775,2,0.438026265659153,1.01271928773169,-91.148250765958,5.89246644867228,0.94,0.438297872340426,0.438297872340426,0,0.906666666666667
128,7,2,handover_stress,normal,75,326.371333226716,30.0221070114585,1,0.428444063526215,0.98451192090185,-90.4861047254916,6.95790983689376,0.932,0.381974248927039,0.381974248927039,0,0.92
129,7,3,handover_stress,normal,75,329.85184707702,24.8122701910738,3,0.442398584014699,1.05107181992694,-90.2252328849984,7.55256560530277,0.942,0.382165605095541,0.382165605095541,0,0.946666666666667
130,7,4,handover_stress,normal,75,320.078226071185,20.4675748958159,2,0.438217581026812,1.124296675446,-90.4207202538854,6.80927662933461,0.944,0.415254237288136,0.415254237288136,0,0.933333333333333
