traffic_mode,sector_id,site_id,azimuth_deg,attached_ue_count,active_ue_count,active_attached_ue_count,offered_traffic_Mbps,served_traffic_Mbps,unserved_traffic_Mbps,sector_capacity_Mbps,sector_load_ratio,mean_RSRP_dBm,median_RSRP_dBm,mean_SINR_dB,median_SINR_dB,mean_UE_throughput_Mbps,median_UE_throughput_Mbps,qos_satisfaction_ratio,overload_flag
heavy_overload,1,1,30,13,13,13,698.110852753473,49.7912963312864,648.319556422187,49.7912963312864,14.0207406553264,-85.5503972206374,-86.8407933581074,10.3344591492966,10.4201949625117,3.83009971779127,3.82394333220482,0,1
heavy_overload,2,1,150,22,22,22,1217.07479031271,41.3654733949222,1175.70931691779,41.3654733949222,29.4224794357633,-86.1333431386925,-86.3005274050616,8.208967967445,5.12238657082889,1.88024879067828,1.89325984248336,0,1
heavy_overload,3,1,270,23,23,23,1322.66906598114,33.4871641553471,1289.1819018258,33.4871641553471,39.4977926421382,-87.3176432843084,-88.6851134720523,5.69700580590055,4.02243564273351,1.45596365892814,1.56390987505398,0,1
heavy_overload,4,2,30,24,24,24,1157.81851808363,55.9365448599305,1101.8819732237,55.9365448599305,20.6987850426389,-87.6522679601982,-90.436718593669,11.9784768357406,11.4704644298738,2.33068936916377,2.45387085838946,0,1
heavy_overload,5,2,150,26,26,26,1315.01664979706,33.9015863021969,1281.11506349486,33.9015863021969,38.7892365293787,-88.9192265788546,-89.6826087259483,5.74137216165672,4.56308262574071,1.30390716546911,1.22250659330188,0,1
heavy_overload,6,2,270,26,26,26,1407.176783676,41.8901539021261,1365.28662977387,41.8901539021261,33.5920652610583,-91.5891253036479,-92.2575393529815,8.3150009313893,8.21645728080615,1.61115976546639,1.58802992203431,0,1
heavy_overload,7,3,30,23,23,23,1216.00420169662,59.8766959000659,1156.12750579655,59.8766959000659,20.3084719926117,-87.1756557117924,-88.2169673341703,13.0111997059527,14.3953900867623,2.60333460435069,2.73234233114902,0,1
heavy_overload,8,3,150,33,33,33,1741.58724251818,42.5092289482998,1699.07801356988,42.5092289482998,40.9696267282646,-88.3128813805098,-89.4824691673178,8.33738305990662,5.87898343584479,1.28815845297878,1.31101342890445,0,1
heavy_overload,9,3,270,22,22,22,1153.3533943166,42.1613591272738,1111.19203518932,42.1613591272738,27.3556976860004,-84.0456657127443,-84.7275504477005,8.18076693515316,5.94593327563523,1.91642541487608,1.83844843262263,0,1
heavy_overload,10,4,30,25,25,25,1187.4270791898,42.8728088576986,1144.5542703321,42.8728088576986,27.6965076659906,-87.6466992548692,-89.090929083239,7.91662287487146,9.1588180710189,1.71491235430795,1.71622308261388,0,1
heavy_overload,11,4,150,22,22,22,1135.39386368459,47.0552967990616,1088.33856688553,47.0552967990616,24.1289278980221,-88.8948755117851,-90.4208514210981,9.98768182451091,7.65030221943893,2.13887712723007,2.09285705514443,0,1
heavy_overload,12,4,270,27,27,27,1343.91588861864,33.1915624640902,1310.72432615455,33.1915624640902,40.4896843911044,-88.9105232334278,-91.0446833336308,5.63254208854971,2.03501338086627,1.22931712829964,1.19016072462832,0,1
heavy_overload,13,5,30,17,17,17,839.453989300813,50.9575098279004,788.496479472913,50.9575098279004,16.4736069744364,-82.2239187929964,-82.9346959290611,11.4607284596707,9.30581376209746,2.99750057811179,2.77370836075133,0,1
heavy_overload,14,5,150,28,28,28,1253.84812610794,52.3259837953897,1201.52214231256,52.3259837953897,23.9622465773576,-89.668359627558,-89.995681549539,10.9252884395577,11.2449498031689,1.86878513554963,1.76444817119952,0,1
heavy_overload,15,5,270,25,25,25,1312.14736009234,48.8312701208346,1263.3160899715,48.8312701208346,26.8710471147973,-86.2939086688513,-86.1232964824157,10.3516935934875,8.35122831185965,1.95325080483338,1.85866755959975,0,1
heavy_overload,16,6,30,19,19,19,983.24371572098,26.7196584067836,956.524057314196,26.7196584067836,36.7985136917527,-90.6416251152966,-92.0187218137426,3.59541315837508,1.68414079544156,1.40629781088335,1.55754063138267,0,1
heavy_overload,17,6,150,24,24,24,1258.2530197008,40.4117778594379,1217.84124184136,40.4117778594379,31.1357996690301,-89.3716870940475,-90.6158881566903,7.50806156900237,6.7240765653492,1.68382407747658,1.61152050938687,0,1
heavy_overload,18,6,270,27,27,27,1282.80228872809,60.0464163979457,1222.75587233015,60.0464163979457,21.3635111915185,-87.4698532558352,-86.7181291074655,13.4892969919554,11.2409240971693,2.22394134807206,2.16087335845473,0,1
heavy_overload,19,7,30,24,24,24,1249.85482960053,35.6798636653743,1214.17496593516,35.6798636653743,35.0296974596756,-89.3121102819908,-87.8884156575396,6.48026681675229,6.78056694485559,1.48666098605726,1.50743652632972,0,1
heavy_overload,20,7,150,16,16,16,850.621823906636,37.6870053531332,812.934818553503,37.6870053531332,22.5706928936427,-87.0084066875333,-88.1668778429572,6.87556186827091,5.27003632932649,2.35543783457083,2.57735942822917,0,1
heavy_overload,21,7,270,25,25,25,1278.79237159062,60.9825753012369,1217.80979628938,60.9825753012369,20.9697994103027,-84.8394275727211,-82.8226228241485,13.2121705598789,15.7596122601533,2.43930301204948,2.45298778659926,0,1
