scenario_id,scenario_name,sector_id,site_id,azimuth_deg,attached_ue_count,active_ue_count,active_attached_ue_count,offered_traffic_Mbps,served_traffic_Mbps,unserved_traffic_Mbps,sector_capacity_Mbps,sector_load_ratio,mean_RSRP_dBm,median_RSRP_dBm,mean_SINR_dB,median_SINR_dB,mean_UE_throughput_Mbps,median_UE_throughput_Mbps,qos_satisfaction_ratio,overload_flag,es_candidate
4,degraded_sector,18,6,270,24,5,5,22.8062739107071,22.8062739107071,0,59.0626411097457,0.386137048431854,-87.8714008863819,-88.7930458026372,14.077293510903,12.4760728602306,4.56125478214142,4.90965476439274,1,0,0
4,degraded_sector,19,7,30,21,5,5,27.7900432440155,27.7900432440155,0,42.5124021614301,0.653692612769559,-88.1184684725153,-92.2503356850127,8.15005950372227,6.55879314972722,5.55800864880309,6.47329819796132,1,0,0
4,degraded_sector,20,7,150,14,4,4,12.5037910276863,12.5037910276863,0,29.9672162092987,0.417249001053572,-89.5635499724177,-91.818936242039,4.58150570832057,2.49143470161722,3.12594775692157,2.91229233102514,1,0,0
4,degraded_sector,21,7,270,28,6,6,36.8113009147025,36.8113009147025,0,50.6727527854557,0.726451571923842,-87.6055765234618,-86.0202276771641,10.3228308636256,11.4090757683834,6.13521681911709,7.07546689374365,1,0,0
5,outage_sector,1,1,30,21,4,4,17.8634324057948,17.8634324057948,0,30.695577319783,0.581954599507792,-88.2497921678464,-88.4461990504893,4.99245061449118,2.50840530145865,4.46585810144869,4.71220284679173,1,0,0
5,outage_sector,2,1,150,17,1,1,4.93363130501094,4.93363130501094,0,43.9184290448699,0.112336242718755,-85.7738826235953,-85.4713986764819,8.41651461250334,7.5415511042578,4.93363130501094,4.93363130501094,1,0,0
5,outage_sector,3,1,270,20,4,4,23.0048090485235,23.0048090485235,0,30.0556924014163,0.765406058236059,-90.0265626219289,-91.4235192852555,4.7280682298369,3.35944758366752,5.75120226213088,6.61619729410082,1,0,0
5,outage_sector,4,2,30,23,1,1,7.47964408141439,7.47964408141439,0,55.0652359152562,0.135832416897756,-88.491645087168,-86.6260977325075,11.5911568412331,10.5959407853961,7.47964408141439,7.47964408141439,1,0,0
5,outage_sector,5,2,150,23,4,4,14.105533668272,14.105533668272,0,38.4554364588291,0.366802069282806,-87.2730569036018,-87.0215314744135,6.80004487480547,4.49739332706111,3.52638341706799,3.24389359036349,1,0,0
5,outage_sector,6,2,270,27,1,1,5.57627390663465,5.57627390663465,0,40.2120871785787,0.138671586030112,-89.7325094452535,-89.9596281990182,7.46117902059502,5.16271896790123,5.57627390663465,5.57627390663465,1,0,0
