oracle_group_id,module_name,scenario_name,realization_id,source_sector_id,selected_action_id_raw,selected_action_id_safe,oracle_action_id,raw_predicted_reward,safe_predicted_reward,raw_true_reward,safe_true_reward,oracle_reward,raw_selected_safety_valid,safe_selected_safety_valid,safety_filter_changed_action,fallback_used,noop_selected,selection_reason,raw_regret,safety_enforced_regret,raw_top1_oracle_match,safe_top1_oracle_match,safe_top2_oracle_match
515,LB/MLB,overload,12,17,14816,14812,14812,-0.133766122463033,-0.133771349686703,-0.1338,-0.1338,-0.1338,0,1,1,0,0,safe_best_predicted,0,0,0,1,1
516,LB/MLB,overload,12,18,14823,14833,14833,-0.0829114755399019,-0.127577940876937,0,-0.1275,-0.1275,0,1,1,0,0,safe_best_predicted,-0.1275,0,0,1,1
517,LB/MLB,overload,12,19,14842,14842,14842,-0.133665998052732,-0.133665998052732,-0.1338,-0.1338,-0.1338,1,1,0,0,0,safe_best_predicted,0,0,1,1,1
518,LB/MLB,overload,12,20,14860,14859,14859,-0.0772785276576355,-0.127495479021599,-0.288002582994867,-0.1275,-0.1275,0,1,1,0,0,safe_best_predicted,0.160502582994867,0,0,1,1
541,LB/MLB,overload,13,1,15151,15150,15150,-0.0811840418169758,-0.127397193269275,-0.129005393957205,-0.1275,-0.1275,0,1,1,0,0,safe_best_predicted,0.001505393957205,0,0,1,1
542,LB/MLB,overload,13,2,15161,15161,15161,-0.0806549643632576,-0.0806549643632576,0,0,0,0,0,0,1,1,no_safe_action_fallback_noop,0,0,1,1,1
543,LB/MLB,overload,13,3,15174,15174,15174,-0.0833804908944839,-0.0833804908944839,0,0,0,0,0,0,1,1,no_safe_action_fallback_noop,0,0,1,1,1
544,LB/MLB,overload,13,6,15187,15187,15187,-0.0841296911849262,-0.0841296911849262,0,0,0,0,0,0,1,1,no_safe_action_fallback_noop,0,0,1,1,1
545,LB/MLB,overload,13,7,15202,15200,15200,-0.133855433198893,-0.185539353689419,-0.1338,0,0,0,0,1,1,1,no_safe_action_fallback_noop,0.1338,0,0,1,1
546,LB/MLB,overload,13,8,15213,15213,15213,-0.0848085082418589,-0.0848085082418589,0,0,0,0,0,0,1,1,no_safe_action_fallback_noop,0,0,1,1,1
547,LB/MLB,overload,13,9,15237,15237,15236,-0.06327591923297,-0.06327591923297,-0.152114420971201,-0.152114420971201,-0.1338,1,1,0,0,0,safe_best_predicted,0.018314420971201,0.018314420971201,0,0,1
548,LB/MLB,overload,13,10,15250,15249,15249,-0.0802827714658537,-0.127502452622416,-0.129005393957205,-0.1275,-0.1275,0,1,1,0,0,safe_best_predicted,0.001505393957205,0,0,1,1
