final_decision_id,coordinator_group_id,scenario_name,realization_id,module_name,module_priority,decision_source_sector_id,decision_target_sector_id,source_sector_id,target_sector_id,coordinator_affected_sector_id,application_affected_sector_id,application_state_variable,affected_sector_id,affected_parameter,selected_action_id_safe,accepted_action_type,final_decision_status,executable_flag,not_applied_flag,safety_valid,fallback_used,noop_selected,unresolved_fallback_flag,rejection_reason,conflict_id,conflict_type,final_candidate_rank,predicted_reward,true_reward,safety_enforced_regret,delta_prs_dB,delta_tilt_deg,delta_cio_dB,delta_hom_dB,delta_ttt_ms,es_action
79,19,mixed_conflict,3,LB/MLB,3,19,0,19,0,0,0,none,0,none,10117,no_op,unresolved_unsafe_fallback,0,1,0,1,1,1,,NaN,,0,-0.0760510587951398,0,0,0,0,0,0,0,
80,19,mixed_conflict,3,LB/MLB,3,20,3,20,3,20,3,sectors.cio_dB,20,CIO_bias,10133,cio_bias_to_neighbor,rejected_priority_conflict,0,1,1,0,0,0,Both actions write the same simulator state variable on the same application sector.,32,duplicate_application_target_parameter,0,0.260003955461902,0.26125,0,0,0,3,0,0,
81,19,mixed_conflict,3,LB/MLB,3,21,0,21,0,0,0,none,0,none,10143,no_op,unresolved_unsafe_fallback,0,1,0,1,1,1,,NaN,,0,-0.0806027829413368,0,0,0,0,0,0,0,
82,20,normal,3,LB/MLB,3,3,16,3,16,3,16,sectors.cio_dB,3,CIO_bias,10160,cio_bias_to_neighbor,final_safe_action,1,1,1,0,0,0,,NaN,,1,0.0440438251545348,0.06625,0,0,0,6,0,0,
83,21,degraded_sector,4,LB/MLB,3,6,0,6,0,0,0,none,0,none,10403,no_op,final_noop,0,1,1,0,1,0,,NaN,,0,0.000131484535718029,0,0,0,0,0,0,0,
84,21,degraded_sector,4,LB/MLB,3,12,2,12,2,12,2,sectors.cio_dB,12,CIO_bias,10419,cio_bias_to_neighbor,rejected_priority_conflict,0,1,1,0,0,0,Both actions write the same simulator state variable on the same application sector.,33,duplicate_application_target_parameter,0,-0.0322816355258132,-0.0238668566292451,0,0,0,3,0,0,
85,21,degraded_sector,4,LB/MLB,3,13,2,13,2,13,2,sectors.cio_dB,13,CIO_bias,10433,cio_bias_to_neighbor,final_safe_action,1,1,1,0,0,0,,NaN,,1,0.0446840734726397,0.05540156711438,0,0,0,6,0,0,
86,21,degraded_sector,4,LB/MLB,3,17,0,17,0,0,0,none,0,none,10442,no_op,final_noop,0,1,1,0,1,0,,NaN,,0,0.00100718547640093,0,0,0,0,0,0,0,
87,22,handover_stress,4,LB/MLB,3,2,0,2,0,0,0,none,0,none,10455,no_op,final_noop,0,1,1,0,1,0,,NaN,,0,7.60948191742348e-05,0,0,0,0,0,0,0,
88,22,handover_stress,4,LB/MLB,3,16,20,16,20,16,20,sectors.cio_dB,16,CIO_bias,10471,cio_bias_to_neighbor,final_safe_action,1,1,1,0,0,0,,NaN,,1,0.0665464855093544,0.0697161126571549,0,0,0,3,0,0,
89,23,handover_stress,5,LB/MLB,3,3,16,3,16,3,16,sectors.cio_dB,3,CIO_bias,10939,cio_bias_to_neighbor,final_safe_action,1,1,1,0,0,0,,NaN,,1,0.108468570694168,0.111482705411398,0,0,0,3,0,0,
90,23,handover_stress,5,LB/MLB,3,4,5,4,5,4,5,sectors.cio_dB,4,CIO_bias,10952,cio_bias_to_neighbor,final_safe_action,1,1,1,0,0,0,,NaN,,2,-0.0348517342895966,-0.0310552605818644,0,0,0,3,0,0,
91,23,handover_stress,5,LB/MLB,3,20,0,20,0,0,0,none,0,none,10962,no_op,final_noop,0,1,1,0,1,0,,NaN,,0,0.000934238454332408,0,0,0,0,0,0,0,
92,24,outage_sector,5,LB/MLB,3,1,5,1,5,1,5,sectors.cio_dB,1,CIO_bias,11199,cio_bias_to_neighbor,final_safe_action,1,1,1,0,0,0,,NaN,,1,0.260529141023396,0.26125,0,0,0,3,0,0,
